Date,Team,Pair 1,Pair 2,Score,Status
2026-06-23,Girls,Sofia Ramos / Chloe Bennett,Priya Raman / Ava Thompson,"6-3, 5-7, 10-6",Verified
2026-06-24,Boys,Jake Whitmore / Mike Sullivan,Pedro Alvarez / Ravi Menon,"6-2, 6-0",Verified
2026-06-30,Boys,Diego Ramirez / Ethan Cole,Johnny Park / Adrian Foster,"6-1, 6-3",Verified
2026-07-04,Girls,Sofia Ramos / Chloe Bennett,Priya Raman / Ava Thompson,"6-0, 6-3",Verified
2026-07-04,Girls,Maya Lindqvist / Nina Kowalski,Priya Raman / Ava Thompson,"4-6, 7-5, 10-6",Verified
2026-07-06,Boys,Diego Ramirez / Ethan Cole,Johnny Park / Adrian Foster,"3-6, 6-4, 10-6",Verified
2026-07-07,Girls,Sofia Ramos / Chloe Bennett,Zara Haddad / Bella Moreau,"6-0, 6-1",Verified
2026-07-08,Girls,Maya Lindqvist / Nina Kowalski,Priya Raman / Ava Thompson,"4-6, 6-2, 10-7",Verified
2026-07-14,Girls,Sofia Ramos / Chloe Bennett,Zara Haddad / Bella Moreau,"6-1, 6-0",Verified
2026-07-17,Girls,Priya Raman / Ava Thompson,Zara Haddad / Bella Moreau,"6-3, 6-3",Verified
2026-07-22,Boys,Johnny Park / Adrian Foster,Pedro Alvarez / Ravi Menon,"4-6, 4-6",Verified
2026-07-24,Girls,Maya Lindqvist / Nina Kowalski,Zara Haddad / Bella Moreau,"6-1, 6-2",Verified
2026-07-30,Girls,Priya Raman / Ava Thompson,Zara Haddad / Bella Moreau,"6-4, 6-3",Verified
2026-08-08,Boys,Jake Whitmore / Mike Sullivan,Johnny Park / Adrian Foster,"6-2, 6-2",Verified
2026-08-08,Boys,Diego Ramirez / Ethan Cole,Pedro Alvarez / Ravi Menon,"6-2, 6-3",Verified
2026-08-12,Boys,Jake Whitmore / Mike Sullivan,Diego Ramirez / Ethan Cole,"6-3, 3-6, 6-10",Verified
2026-08-14,Boys,Diego Ramirez / Ethan Cole,Pedro Alvarez / Ravi Menon,"6-1, 6-2",Verified
2026-08-15,Boys,Jake Whitmore / Mike Sullivan,Diego Ramirez / Ethan Cole,"6-4, 5-7, 10-5",Verified
2026-08-19,Boys,Johnny Park / Adrian Foster,Pedro Alvarez / Ravi Menon,"3-6, 3-6",Verified
2026-08-19,Girls,Sofia Ramos / Chloe Bennett,Maya Lindqvist / Nina Kowalski,"6-4, 3-6, 8-10",Verified
2026-08-22,Boys,Jake Whitmore / Mike Sullivan,Johnny Park / Adrian Foster,"6-2, 6-2",Verified
2026-08-22,Boys,Jake Whitmore / Mike Sullivan,Pedro Alvarez / Ravi Menon,"6-4, 6-1",Verified
2026-08-28,Girls,Sofia Ramos / Chloe Bennett,Maya Lindqvist / Nina Kowalski,"4-6, 6-3, 4-10",Verified
2026-08-31,Girls,Maya Lindqvist / Nina Kowalski,Zara Haddad / Bella Moreau,"6-0, 6-4",Verified
2026-09-03,Boys,Pedro Alvarez / Ravi Menon,Johnny Park / Adrian Foster,,
