Date,Team,Person 1,Person 2,Score,Status,Notes
2026-06-15,Girls,Lena Fischer,Ava Thompson,"3-6, 2-6",Verified,
2026-06-16,Boys,Pedro Alvarez,Johnny Park,"4-6, 1-6",Verified,
2026-06-17,Girls,Lena Fischer,Nina Kowalski,"4-6, 7-5, 4-10",Verified,
2026-06-17,Girls,Lena Fischer,Zara Haddad,"6-4, 6-4",Verified,
2026-06-18,Boys,Ethan Cole,Pedro Alvarez,"2-6, 6-2, 10-8",Verified,
2026-06-18,Boys,Marcus Webb,Diego Ramirez,"6-4, 4-6, 8-10",Verified,
2026-06-19,Boys,Ethan Cole,Mike Sullivan,"5-7, 4-6",Verified,
2026-06-19,Boys,Johnny Park,Ethan Cole,"5-7, 2-6",Verified,
2026-06-19,Girls,Priya Raman,Nina Kowalski,"4-6, 5-7",Verified,
2026-06-20,Girls,Bella Moreau,Maya Lindqvist,"7-5, 1-6, 5-10",Verified,
2026-06-22,Boys,Mike Sullivan,Jake Whitmore,"6-2, 6-7, 5-10",Verified,
2026-06-22,Boys,Pedro Alvarez,Jake Whitmore,"0-6, 1-6",Verified,
2026-06-22,Boys,Diego Ramirez,Mike Sullivan,"5-7, 7-5, 10-4",Verified,
2026-06-22,Girls,Nina Kowalski,Maya Lindqvist,"7-5, 2-6, 8-10",Verified,
2026-06-26,Boys,Adrian Foster,Mike Sullivan,"3-6, 2-6",Verified,
2026-06-26,Girls,Zara Haddad,Sofia Ramos,"1-6, 2-6",Verified,
2026-06-27,Boys,Adrian Foster,Ravi Menon,"6-3, 6-4",Verified,
2026-06-27,Girls,Chloe Bennett,Maya Lindqvist,"3-6, 4-6",Verified,
2026-06-30,Boys,Jake Whitmore,Ethan Cole,"6-1, 6-3",Verified,
2026-06-30,Boys,Marcus Webb,Adrian Foster,"7-6, 4-6, 10-4",Verified,
2026-07-01,Boys,Jake Whitmore,Mike Sullivan,"3-6, 6-2, 10-6",Verified,
2026-07-01,Boys,Marcus Webb,Ethan Cole,"6-3, 5-7, 10-6",Verified,
2026-07-02,Boys,Ethan Cole,Mike Sullivan,"5-7, 5-7",Verified,
2026-07-03,Girls,Nina Kowalski,Chloe Bennett,"4-6, 3-6",Verified,
2026-07-03,Girls,Chloe Bennett,Nina Kowalski,"6-4, 6-3",Verified,
2026-07-03,Girls,Zara Haddad,Lena Fischer,"4-6, 5-7",Verified,
2026-07-06,Girls,Priya Raman,Chloe Bennett,"5-7, 6-4, 10-5",Verified,
2026-07-06,Girls,Bella Moreau,Ava Thompson,"6-4, 3-6, 5-10",Verified,
2026-07-08,Boys,Ethan Cole,Diego Ramirez,"7-5, 4-6, 6-10",Verified,
2026-07-08,Boys,Ethan Cole,Diego Ramirez,"5-7, 4-6",Verified,
2026-07-08,Boys,Diego Ramirez,Pedro Alvarez,"6-4, 6-1",Verified,
2026-07-08,Girls,Lena Fischer,Maya Lindqvist,"4-6, 1-6",Verified,
2026-07-08,Girls,Nina Kowalski,Priya Raman,"4-6, 6-4, 8-10",Verified,
