Name,Team,Grade,Division,Status
Jake Whitmore,Boys,12,Varsity,Active
Ethan Cole,Boys,11,Varsity,Active
Mike Sullivan,Boys,12,Varsity,Active
Diego Ramirez,Boys,10,Varsity,Active
Marcus Webb,Boys,11,Varsity,Injured
Johnny Park,Boys,12,Varsity,Active
Adrian Foster,Boys,10,JV,Active
Pedro Alvarez,Boys,11,JV,Active
Ravi Menon,Boys,9,JV,Active
Tyler Brooks,Boys,9,JV,Active
Sofia Ramos,Girls,12,Varsity,Active
Maya Lindqvist,Girls,11,Varsity,Active
Priya Raman,Girls,10,Varsity,Active
Chloe Bennett,Girls,12,Varsity,Active
Nina Kowalski,Girls,11,Varsity,Active
Ava Thompson,Girls,10,JV,Active
Zara Haddad,Girls,9,JV,Active
Lena Fischer,Girls,11,JV,Injured
Bella Moreau,Girls,10,JV,Active
Hana Suzuki,Girls,9,JV,Active
